defender1_x,defender1_y,defender2_x,defender2_y,defender3_x,defender3_y,defender4_x,defender4_y,defender5_x,defender5_y,defender6_x,defender6_y,defender7_x,defender7_y,defender8_x,defender8_y,defender9_x,defender9_y,defender10_x,defender10_y,defender11_x,defender11_y,deepest_safety_depth,next_deepest_safety_depth,middle_field_count,outside_field_count,players_near_los,players_in_box,avg_defender_depth,std_defender_depth,avg_cb_depth,min_cb_depth,target_y
5.29,27.12,7.51,14.96,1.21,33.88,2.51,19.51,1.5,28.26,1.49,32.08,4.77,37.37,1.46,23.48,1.42,36.44,15.61,25.34,5.1,30.81,15.61,2.51,9.0,2.0,5.0,6.0,4.3518,4.0997,6.14,4.77,0.0
4.35,26.29,0.12,20.7,4.47,33.78,1.1,42.95,0.04,29.93,0.23,24.97,6.84,31.17,6.73,18.06,0.19,17.37,2.05,17.6,4.66,13.7,6.84,6.73,8.0,3.0,5.0,6.0,2.7982,2.56,3.41,1.1,5.0
0.69,33.3,0.54,35.5,0.39,10.35,0.78,43.93,13.38,22.33,13.63,35.1,3.23,28.59,0.68,27.15,2.6,37.21,0.2,23.19,1.36,17.97,13.63,13.38,8.0,3.0,7.0,6.0,3.4073,4.8446,0.585,0.39,4.0
1.12,34.63,7.74,17.72,5.02,28.51,5.15,31.71,1.13,27.35,2.36,44.91,1.26,30.63,4.66,24.94,1.19,22.44,15.41,32.03,3.33,36.51,15.41,4.66,9.0,2.0,4.0,6.0,4.3973,4.0487,4.4767,2.36,2.0
0.3,35.34,0.01,24.37,0.22,32.58,5.88,36.57,13.68,23.02,5.88,15.58,3.79,31.43,1.5,18.48,0.07,27.08,0.95,28.98,6.02,20.71,13.68,5.88,9.0,2.0,6.0,6.0,3.4818,4.0095,4.4667,1.5,0.0
5.48,42.84,0.12,26.3,0.47,21.51,0.54,29.82,3.42,22.87,9.34,19.49,0.46,17.97,3.49,26.92,3.73,16.13,10.45,33.67,0.5,23.27,10.45,9.34,10.0,1.0,5.0,8.0,3.4545,3.4899,4.605,3.73,4.0
0.69,26.37,0.84,31.75,0.14,19.32,0.42,10.13,2.32,25.46,0.17,24.34,2.11,36.69,3.75,23.68,0.39,29.55,16.72,24.79,0.56,44.23,16.72,3.75,8.0,3.0,7.0,7.0,2.5555,4.6072,1.03,0.42,0.0
1.4,24.23,9.63,33.03,1.22,31.73,0.92,21.95,5.59,26.25,5.5,19.76,10.36,16.27,1.49,29.74,14.57,22.56,1.97,37.37,1.46,26.7,14.57,9.63,9.0,2.0,5.0,5.0,4.9191,4.4742,5.9433,1.97,0.0
0.05,23.54,0.33,35.28,0.04,10.28,0.7,30.62,3.73,21.48,2.08,17.38,0.69,25.71,0.46,28.12,13.3,27.18,0.21,37.4,2.17,38.86,13.3,0.7,9.0,2.0,7.0,8.0,2.16,3.6909,1.3267,0.04,0.0
3.56,22.92,0.49,25.39,3.12,30.4,7.21,13.95,0.9,20.05,3.81,27.93,0.82,23.37,0.48,28.36,4.73,17.54,0.61,16.82,5.83,36.47,4.73,3.81,10.0,1.0,5.0,9.0,2.8691,2.2773,5.3867,3.12,5.0
0.41,26.8,9.28,25.58,0.33,32.58,2.71,33.42,2.97,21.76,3.12,18.71,0.59,35.98,0.8,38.86,9.6,32.89,0.45,23.76,2.79,23.8,9.6,9.28,10.0,1.0,5.0,8.0,3.0045,3.2211,2.2967,0.8,0.0
1.34,32.72,13.59,35.71,4.58,23.16,3.99,17.01,2.58,39.62,1.08,25.15,0.75,29.37,0.82,9.55,15.29,19.3,0.78,34.98,4.11,30.83,15.29,13.59,8.0,3.0,5.0,7.0,4.4464,4.9198,2.4633,0.82,3.0
7.83,14.81,4.34,19.7,0.6,31.6,4.72,26.84,0.55,34.31,0.25,28.83,7.6,36.78,4.28,31.74,1.52,37.96,14.83,23.4,0.71,24.82,14.83,4.34,10.0,1.0,4.0,8.0,4.2936,4.2553,7.715,7.6,2.0
0.42,26.44,0.84,28.51,0.57,24.13,1.74,38.47,8.19,20.28,0.96,30.48,14.36,34.46,13.62,20.46,1.16,11.88,0.64,32.14,1.28,34.56,14.36,13.62,10.0,1.0,7.0,7.0,3.98,5.1619,3.6967,1.16,1.0
0.72,21.06,1.43,31.93,3.25,22.74,12.67,22.08,3.0,36.85,5.79,41.87,1.04,28.77,0.87,25.93,0.9,23.44,0.77,18.04,1.88,8.97,12.67,5.79,8.0,3.0,6.0,7.0,2.9382,3.4111,2.1033,1.43,0.0
4.38,26.93,11.11,33.59,3.92,20.75,10.9,17.5,8.15,8.53,0.23,29.23,0.88,16.96,0.76,24.84,7.33,39.15,0.67,21.55,1.19,34.77,11.11,10.9,8.0,3.0,5.0,6.0,4.5018,4.0146,7.74,7.33,4.0
0.65,19.43,13.72,25.31,0.59,24.23,5.99,30.12,1.16,44.13,0.18,28.83,0.73,37.32,5.1,16.42,3.92,26.13,1.57,14.22,3.16,32.9,13.72,5.99,9.0,2.0,5.0,6.0,3.3427,3.7865,1.655,0.73,0.0
1.19,26.5,0.7,22.62,2.5,32.9,9.09,17.2,3.58,43.79,4.46,26.15,4.93,21.82,0.76,17.82,0.44,30.24,3.35,13.26,14.05,32.66,14.05,9.09,9.0,2.0,4.0,7.0,4.0955,3.9622,3.1433,2.5,1.0
8.37,9.12,6.59,20.67,0.55,26.58,4.68,17.15,7.44,42.48,1.3,30.47,10.74,25.99,0.96,22.02,4.66,25.38,2.73,27.5,0.99,27.69,10.74,6.59,9.0,2.0,4.0,7.0,4.4555,3.3137,6.83,4.68,-1.0
0.31,28.43,0.97,30.99,0.99,26.56,0.38,17.61,1.58,15.2,0.58,23.91,15.01,21.14,8.72,34.71,0.28,19.14,1.36,21.32,7.04,38.87,15.01,8.72,9.0,2.0,7.0,8.0,3.3836,4.5913,3.1967,0.97,4.0
12.16,33.9,4.36,36.38,0.86,35.14,11.04,26.31,0.42,28.81,0.57,27.08,5.11,45.6,4.99,32.17,0.9,31.93,5.6,24.49,2.02,12.07,12.16,11.04,9.0,2.0,4.0,6.0,4.3664,3.9027,3.83,2.02,-1.0
7.76,35.63,5.89,14.73,5.5,43.43,0.03,29.74,3.83,21.79,14.87,20.31,0.5,22.73,0.66,18.69,0.03,26.67,4.35,25.18,8.23,8.31,14.87,7.76,8.0,3.0,4.0,6.0,4.6955,4.3251,6.54,5.5,2.0
16.23,30.87,0.83,22.68,1.04,18.2,7.21,42.76,1.22,8.46,3.4,34.84,4.36,24.13,0.28,28.99,0.81,26.19,4.54,29.66,9.84,17.97,16.23,9.84,8.0,3.0,5.0,6.0,4.5236,4.6933,4.215,1.22,2.0
3.35,28.02,2.05,33.91,0.14,21.48,0.04,24.74,6.59,9.6,3.52,16.12,12.31,16.1,10.39,35.1,7.37,43.2,0.53,17.96,0.21,27.41,12.31,10.39,8.0,3.0,4.0,7.0,4.2273,4.1432,6.98,6.59,4.0
15.19,24.64,22.67,15.89,1.15,29.89,0.7,23.35,19.34,39.88,14.47,14.89,0.93,36.47,14.17,31.72,18.6,27.59,13.98,19.61,15.38,45.84,22.67,19.34,7.0,4.0,3.0,3.0,12.4164,7.4691,14.61,13.98,8.0
1.12,25.88,3.0,20.25,0.79,17.79,1.16,32.66,1.06,22.73,1.78,43.85,1.72,37.55,5.75,20.74,1.39,8.5,2.4,24.7,1.23,29.37,5.75,1.39,8.0,3.0,6.0,7.0,1.9455,1.3521,1.5533,1.16,6.0
5.83,18.64,0.25,31.74,0.42,35.74,0.31,29.09,3.36,36.94,4.06,28.76,4.43,32.3,0.45,23.07,15.87,28.47,0.51,25.57,3.79,23.76,15.87,3.79,10.0,1.0,5.0,9.0,3.5709,4.3499,4.595,3.36,2.0
0.94,30.59,12.48,21.06,4.82,28.42,4.15,25.88,0.69,27.66,7.22,16.79,0.67,35.28,2.94,40.62,4.94,35.23,15.26,34.63,0.86,25.13,15.26,12.48,9.0,2.0,4.0,7.0,4.9973,4.6914,5.0333,2.94,1.0
13.21,20.21,3.57,36.23,0.17,24.24,1.98,21.41,1.6,27.44,0.32,17.78,3.46,29.83,0.7,44.7,0.31,31.81,11.31,29.72,8.63,14.05,13.21,11.31,8.0,3.0,4.0,6.0,4.1145,4.4984,4.09,0.7,0.0
0.35,26.63,0.22,24.37,0.2,38.55,0.37,19.9,12.43,35.4,0.87,29.6,0.8,32.33,11.23,23.22,0.08,35.69,6.88,19.82,5.43,37.01,12.43,11.23,11.0,0.0,7.0,7.0,3.5327,4.4915,0.285,0.2,0.0
1.18,27.27,1.13,19.55,5.58,24.09,1.34,14.47,3.49,32.83,8.17,18.79,1.59,16.45,1.24,25.02,1.2,31.02,8.05,29.62,1.23,21.96,8.17,8.05,11.0,0.0,6.0,8.0,3.1091,2.6971,2.415,1.34,5.0
0.59,28.61,0.96,23.93,0.74,21.7,7.7,37.27,6.33,13.09,7.34,31.11,0.91,16.39,0.52,25.93,0.63,18.55,13.47,19.58,0.99,31.18,13.47,7.34,9.0,2.0,7.0,7.0,3.6527,4.1801,5.0067,0.99,2.0
0.4,32.9,3.54,35.95,0.5,20.46,0.39,24.94,0.65,28.44,9.31,39.59,12.36,19.23,12.96,33.79,4.56,23.31,4.98,27.65,8.06,12.41,12.96,12.36,9.0,2.0,4.0,7.0,5.2464,4.5598,6.97,3.54,3.0
6.48,22.62,6.67,11.16,1.77,42.04,0.18,30.85,0.35,35.49,3.56,28.59,8.55,33.4,0.58,26.06,2.97,32.7,1.26,22.26,0.34,28.1,8.55,6.48,9.0,2.0,5.0,7.0,2.9736,2.8466,3.2333,1.26,2.0
0.63,35.92,0.9,29.18,0.54,32.12,0.96,25.22,5.17,28.51,0.85,18.05,12.64,26.17,1.04,38.51,1.75,22.56,4.81,33.62,1.13,9.85,12.64,1.75,9.0,2.0,7.0,7.0,2.7655,3.4912,1.0067,0.85,0.0
4.21,31.82,2.72,17.32,6.96,35.44,1.58,22.7,0.58,24.97,0.56,28.44,5.7,40.12,0.54,32.05,4.13,27.91,0.67,35.63,16.2,29.31,16.2,6.96,9.0,2.0,4.0,7.0,3.9864,4.4173,4.21,2.72,3.0
1.43,19.27,1.02,42.34,4.5,30.73,1.15,23.29,1.01,26.79,1.15,32.23,1.23,10.1,1.59,29.63,3.88,24.01,1.07,35.37,15.34,26.02,15.34,3.88,8.0,3.0,7.0,7.0,3.0336,4.06,1.2267,1.02,0.0
0.94,35.1,0.86,31.01,7.92,15.49,5.36,30.27,0.82,27.62,9.94,39.26,0.84,9.85,0.27,23.46,1.04,18.48,5.04,26.9,2.66,42.89,9.94,7.92,7.0,4.0,6.0,4.0,3.2445,3.178,1.5133,0.84,5.0
5.15,30.12,3.78,25.59,7.16,13.48,0.59,26.3,0.55,18.14,12.59,19.25,0.7,30.08,3.98,21.57,0.91,34.27,4.63,19.47,0.71,21.56,12.59,5.15,9.0,2.0,5.0,7.0,3.7045,3.5596,4.2333,0.91,0.0
0.41,27.28,3.94,32.59,0.56,23.98,5.28,42.24,7.63,10.49,0.24,30.29,4.99,16.14,4.74,38.68,3.35,26.62,0.02,36.13,15.02,25.78,15.02,4.99,8.0,3.0,4.0,7.0,4.1982,4.1831,6.455,5.28,2.0
3.06,35.53,0.64,37.76,5.13,38.06,5.25,17.93,4.01,29.03,0.73,32.48,12.46,28.41,8.57,12.41,0.48,23.56,0.65,26.9,0.69,29.6,12.46,5.25,9.0,2.0,5.0,7.0,3.7882,3.7202,6.85,5.13,0.0
1.04,32.15,0.49,24.67,2.92,32.52,15.27,27.06,1.5,10.5,3.73,34.93,1.26,26.26,5.46,24.15,0.82,21.96,8.08,27.25,1.06,43.77,15.27,8.08,9.0,2.0,6.0,6.0,3.7845,4.2652,2.0967,1.06,7.0
0.03,21.91,0.53,31.89,5.02,27.36,4.05,10.95,1.09,33.34,14.66,18.05,4.36,22.0,0.52,29.25,4.96,44.03,12.29,35.45,0.29,25.95,14.66,12.29,9.0,2.0,5.0,6.0,4.3455,4.7221,4.505,4.05,1.0
3.7,20.23,0.58,28.79,8.97,19.53,0.79,24.67,0.56,42.89,11.33,29.37,3.28,23.26,6.02,11.97,1.58,33.46,1.19,18.61,0.62,20.89,8.97,1.58,9.0,2.0,5.0,7.0,3.5109,3.5611,5.97,0.56,3.0
1.09,15.07,6.24,27.88,3.74,32.25,0.87,34.11,1.14,29.63,17.26,25.92,0.9,23.95,1.15,18.88,1.72,26.31,0.7,21.01,2.08,17.98,17.26,6.24,10.0,1.0,6.0,8.0,3.3536,4.6736,1.9,0.87,0.0
0.24,19.4,0.46,29.07,10.78,20.3,4.62,25.57,1.02,16.11,0.5,26.74,11.32,30.44,4.0,30.24,0.73,22.92,4.13,22.04,8.65,34.98,11.32,10.78,10.0,1.0,5.0,8.0,4.2227,4.0398,4.835,1.02,3.0
0.98,30.01,13.48,23.26,0.57,32.17,9.09,35.69,5.04,18.19,0.52,24.47,0.55,28.22,4.57,30.58,0.56,36.05,4.07,24.46,4.65,40.56,13.48,9.09,9.0,2.0,5.0,7.0,4.0073,3.9811,4.5867,4.07,2.0
0.71,26.76,0.44,30.55,9.43,18.88,5.0,24.09,8.58,36.26,0.55,21.05,11.11,30.07,5.35,20.47,0.85,24.66,0.77,18.77,7.74,11.4,11.11,9.43,9.0,2.0,5.0,6.0,4.5936,3.9278,8.16,7.74,2.0
0.05,35.07,0.1,32.33,13.84,35.11,12.6,22.14,2.75,12.42,4.6,31.45,2.78,20.92,0.52,28.79,4.7,26.8,0.39,24.48,0.76,42.51,13.84,12.6,9.0,2.0,5.0,7.0,3.9173,4.6813,2.0967,0.76,3.0
3.58,27.02,0.28,18.02,0.63,28.56,8.26,18.1,1.05,45.26,3.35,21.76,2.25,32.58,0.81,23.73,14.03,26.72,10.76,35.98,3.4,13.5,14.03,10.76,8.0,3.0,4.0,6.0,4.4,4.3774,2.225,1.05,1.0
4.01,28.63,0.35,34.03,13.38,19.68,3.79,8.76,0.26,31.78,0.36,27.78,2.44,21.31,12.64,37.9,0.68,25.07,2.67,34.97,1.36,39.56,13.38,12.64,9.0,2.0,5.0,8.0,3.8127,4.5231,2.53,1.36,1.0
4.19,25.72,0.17,28.56,1.52,15.91,2.86,27.1,1.78,18.75,0.21,21.91,2.66,24.14,0.8,33.99,3.39,21.56,0.06,24.69,0.45,18.42,4.19,1.78,11.0,0.0,5.0,11.0,1.6445,1.3801,1.16,0.8,5.0
1.15,26.03,1.21,20.99,4.22,23.19,1.59,29.24,7.12,42.19,2.03,31.52,0.97,23.16,6.77,35.99,12.82,25.79,4.01,20.15,1.79,16.62,12.82,6.77,9.0,2.0,3.0,8.0,3.9709,3.5019,4.575,2.03,0.0
0.14,23.96,0.37,32.63,0.21,27.6,6.68,13.67,3.38,16.65,13.46,29.71,10.27,19.12,0.83,35.52,5.12,12.48,0.51,21.91,4.51,21.89,13.46,10.27,9.0,2.0,5.0,7.0,4.1345,4.2891,3.63,0.83,4.0
0.74,31.55,7.4,11.12,0.22,18.34,4.25,28.96,13.39,31.2,4.56,37.07,0.56,34.88,0.67,29.1,0.47,24.99,13.55,21.92,4.03,33.39,13.55,13.39,9.0,2.0,5.0,7.0,4.5309,4.7531,5.98,4.56,4.0
4.24,21.25,0.14,18.12,0.04,21.86,3.34,11.28,0.56,25.23,5.28,45.26,2.55,34.59,14.65,15.99,13.99,36.36,3.95,29.05,0.25,29.7,14.65,13.99,7.0,4.0,4.0,6.0,4.4536,4.9697,3.7233,2.55,2.0
0.69,21.74,1.01,27.98,5.96,19.79,1.58,26.46,5.03,15.91,0.52,17.65,0.66,24.96,4.31,33.83,8.14,28.0,0.69,29.74,2.34,23.06,8.14,5.96,10.0,1.0,5.0,7.0,2.8118,2.5107,4.67,4.31,5.0
0.89,18.0,0.76,25.55,16.65,29.66,5.84,29.55,2.37,22.03,0.8,14.92,0.74,22.13,10.99,16.6,0.52,28.47,3.16,28.25,5.68,36.1,16.65,10.99,10.0,1.0,5.0,7.0,4.4,4.9529,3.24,0.8,1.0
0.9,27.08,0.94,31.98,1.62,10.26,13.42,33.75,3.14,32.25,0.82,35.23,0.53,30.14,1.12,42.76,10.63,19.07,0.55,23.22,3.48,28.27,13.42,10.63,8.0,3.0,6.0,7.0,3.3773,4.2257,1.37,1.12,2.0
5.83,40.91,6.38,38.48,3.29,26.93,4.75,31.37,0.34,32.73,3.72,18.2,7.27,12.05,0.91,22.83,0.53,28.74,0.4,36.43,13.54,20.48,13.54,6.38,8.0,3.0,4.0,6.0,4.2691,3.802,5.6067,3.72,0.0
11.87,23.89,10.68,37.1,0.94,23.32,7.84,10.8,2.89,30.88,0.56,35.41,0.88,29.75,3.29,37.59,0.69,26.94,2.26,22.58,5.98,44.26,11.87,10.68,9.0,2.0,4.0,7.0,4.3527,3.9371,5.36,2.26,4.0
1.17,22.52,5.9,25.7,4.85,30.86,0.77,19.04,1.69,15.11,4.79,20.66,11.97,19.18,11.37,32.99,1.72,36.4,1.06,25.84,1.23,28.67,11.97,11.37,10.0,1.0,4.0,7.0,4.2291,3.9023,2.7533,1.69,1.0
0.67,31.4,3.49,30.53,0.25,17.61,0.32,28.56,8.17,21.02,0.59,24.38,4.99,14.75,10.01,30.02,0.71,22.35,0.77,20.56,6.95,35.13,10.01,8.17,10.0,1.0,6.0,8.0,3.3564,3.444,5.1433,3.49,2.0
0.52,22.34,7.46,13.86,8.42,39.37,0.75,26.37,0.85,18.9,4.4,21.34,5.65,36.02,0.41,29.36,14.29,32.04,13.78,19.18,4.92,26.8,14.29,13.78,9.0,2.0,4.0,6.0,5.5864,4.8107,7.1767,5.65,4.0
0.69,24.84,5.05,28.41,4.01,23.81,14.19,35.02,20.46,24.47,1.2,43.86,0.72,31.89,0.85,10.27,0.58,29.21,1.07,33.96,4.04,31.66,20.46,14.19,9.0,2.0,6.0,6.0,4.8055,6.2413,2.43,0.85,1.0
13.78,36.7,2.28,20.33,2.37,32.64,0.3,28.78,0.57,24.57,0.12,36.04,4.76,24.36,0.77,41.37,0.08,22.37,13.99,22.43,8.6,16.0,13.99,13.78,9.0,2.0,5.0,7.0,4.3291,5.1161,4.1025,0.77,4.0
11.53,17.59,0.2,21.71,5.82,27.25,0.8,43.68,5.98,8.72,0.28,29.58,5.06,21.23,0.05,18.27,0.42,24.97,0.44,34.99,12.67,35.53,12.67,11.53,7.0,4.0,6.0,4.0,3.9318,4.47,2.4067,0.44,1.0
6.68,17.59,0.61,33.31,0.34,23.19,0.36,34.83,16.45,33.21,4.05,24.11,0.42,27.24,13.66,24.04,5.85,30.09,8.62,38.14,4.32,34.39,16.45,4.05,10.0,1.0,4.0,6.0,5.5782,5.2564,8.32,4.32,2.0
0.2,29.34,14.48,30.1,4.15,25.55,7.59,44.79,0.13,21.57,5.54,20.74,2.89,36.45,0.34,25.08,1.05,31.59,6.85,15.81,0.01,18.72,14.48,5.54,9.0,2.0,5.0,6.0,3.93,4.2837,7.22,6.85,2.0
5.79,26.0,0.29,24.48,0.46,31.54,7.49,38.0,3.65,31.04,0.47,35.4,0.56,26.95,1.21,11.21,11.32,18.63,3.77,18.38,0.95,43.1,11.32,7.49,7.0,4.0,6.0,5.0,3.2691,3.4502,1.08,0.95,5.0
0.92,26.31,12.04,34.81,1.56,32.9,0.81,23.96,1.12,31.31,11.41,20.35,3.45,26.76,7.74,10.21,2.58,43.64,0.73,36.67,2.5,20.68,12.04,11.41,9.0,2.0,4.0,7.0,4.0782,4.0748,4.2733,2.5,4.0
6.33,40.54,8.67,36.13,3.88,27.14,4.31,33.29,0.55,36.47,0.6,32.14,0.75,28.94,1.73,19.82,7.21,10.89,0.75,24.28,13.47,20.8,13.47,8.67,8.0,3.0,4.0,6.0,4.3864,3.9935,5.09,1.73,2.0
6.01,9.06,11.65,32.97,4.7,22.69,4.9,27.93,0.32,36.84,0.83,32.64,5.46,16.53,0.55,29.99,4.93,37.57,0.44,23.01,13.44,16.11,13.44,11.65,8.0,3.0,4.0,7.0,4.8391,4.2254,5.4667,4.93,1.0
1.3,38.04,9.75,34.24,0.61,25.93,0.64,23.48,2.58,17.16,0.38,30.62,2.38,31.37,1.2,8.02,6.12,26.27,0.52,35.36,14.46,21.63,14.46,9.75,9.0,2.0,6.0,6.0,3.6309,4.4029,1.6933,1.2,0.0
3.32,43.84,2.38,17.76,0.09,22.93,0.14,19.14,0.19,25.22,3.21,33.2,3.84,24.04,1.22,14.82,3.86,18.29,0.01,28.74,14.31,30.84,14.31,2.38,10.0,1.0,5.0,9.0,2.9609,3.8909,2.5833,1.22,2.0
0.71,29.59,8.73,10.55,14.54,22.32,10.45,40.58,9.82,44.52,1.15,23.93,6.02,15.07,25.47,33.68,12.55,32.97,24.02,15.57,1.22,17.75,25.47,24.02,8.0,3.0,3.0,3.0,10.4255,8.0927,8.7633,6.02,1.0
0.64,24.68,0.69,21.34,7.03,27.23,0.41,18.68,3.52,21.79,4.17,13.06,1.67,34.02,2.0,16.32,0.66,28.31,2.58,35.2,3.67,26.02,7.03,2.0,8.0,3.0,4.0,7.0,2.4582,1.9338,2.8067,1.67,2.0
0.77,23.75,0.66,21.07,12.33,29.36,12.28,18.47,0.69,17.46,0.82,26.35,3.9,21.82,6.38,35.36,3.59,25.29,0.9,30.28,2.18,13.74,12.33,12.28,10.0,1.0,5.0,8.0,4.0455,4.257,4.28,2.18,3.0
0.78,32.81,0.58,24.43,7.53,33.92,11.98,25.09,4.83,28.79,0.75,29.87,4.28,19.97,0.81,35.52,0.65,27.38,7.15,39.82,6.57,11.66,11.98,7.53,9.0,2.0,5.0,7.0,4.1736,3.6573,6.86,6.57,1.0
0.83,21.79,3.63,19.85,3.38,27.75,1.94,35.34,1.42,9.13,0.49,17.53,0.49,25.49,12.14,41.87,16.03,26.01,0.32,29.06,3.16,23.7,16.03,3.63,8.0,3.0,5.0,7.0,3.9845,4.9666,5.1667,1.42,1.0
8.85,29.28,0.68,32.71,6.87,16.67,8.2,27.36,0.7,35.54,13.92,31.54,9.71,10.19,0.61,29.01,14.59,17.96,0.19,23.71,7.64,39.91,14.59,13.92,7.0,4.0,4.0,4.0,6.5418,5.0691,8.105,6.87,4.0
0.99,28.07,12.33,25.72,0.8,32.75,1.07,23.71,8.21,20.06,4.46,20.78,6.45,17.08,4.87,26.48,1.05,19.7,4.78,35.99,1.06,42.49,12.33,8.21,10.0,1.0,5.0,7.0,4.1882,3.5616,4.0967,1.06,0.0
0.44,28.63,0.03,34.77,4.49,27.52,5.95,14.21,3.28,40.5,14.09,20.18,4.96,31.53,0.41,32.28,14.33,36.11,0.39,24.58,5.53,22.11,14.33,14.09,9.0,2.0,4.0,6.0,4.9,4.8784,4.92,3.28,1.0
4.27,26.3,0.23,17.0,13.67,31.27,0.22,21.06,4.47,34.06,8.85,18.11,3.8,42.8,0.67,24.87,4.54,23.06,0.96,8.61,0.55,29.15,13.67,8.85,8.0,3.0,5.0,6.0,3.8391,4.0239,2.38,0.96,2.0
0.46,28.72,16.66,25.42,0.41,25.88,8.36,36.57,0.84,30.91,0.39,22.02,4.66,24.38,4.51,34.64,3.09,19.93,1.75,9.01,0.46,17.77,16.66,0.84,8.0,3.0,5.0,7.0,3.7809,4.732,4.8733,1.75,2.0
2.79,27.85,3.14,10.05,4.14,30.07,0.79,19.27,0.98,34.8,0.96,26.13,11.95,33.42,0.66,29.07,5.55,39.61,11.31,19.07,0.46,32.23,11.95,11.31,8.0,3.0,5.0,6.0,3.8845,3.9712,3.16,0.79,2.0
0.5,32.01,3.07,31.89,0.32,23.52,6.79,40.95,4.79,17.21,0.07,29.34,0.19,36.84,6.51,10.88,14.79,27.5,3.04,27.39,3.21,36.3,14.79,6.51,8.0,3.0,4.0,7.0,3.9345,4.1478,5.79,4.79,0.0
0.6,24.03,0.04,20.66,7.22,13.64,7.76,33.26,11.45,20.48,4.62,26.35,0.65,28.01,8.9,31.77,0.4,34.29,3.94,30.7,3.83,18.05,11.45,8.9,10.0,1.0,4.0,7.0,4.4918,3.7319,6.27,3.83,2.0
0.7,26.92,0.6,18.97,7.39,37.94,1.66,22.82,1.51,24.95,0.81,21.28,6.33,15.56,7.11,21.02,0.77,30.35,15.88,27.56,3.77,33.21,15.88,7.11,9.0,2.0,4.0,6.0,4.23,4.4917,5.83,3.77,2.0
0.68,28.38,7.31,10.05,7.59,37.08,3.38,26.35,4.36,17.35,0.65,35.57,0.49,31.89,6.12,44.81,19.24,25.28,0.28,23.74,4.21,31.43,19.24,7.59,8.0,3.0,4.0,6.0,4.9373,5.2214,5.93,4.36,0.0
0.27,21.99,3.85,26.11,7.59,40.74,0.69,34.83,5.48,12.31,12.77,22.91,6.49,18.51,4.29,32.21,0.59,27.28,0.56,30.42,11.56,33.98,12.77,11.56,8.0,3.0,4.0,6.0,4.9218,4.2043,6.535,5.48,4.0
0.73,36.99,13.1,32.05,0.97,32.76,1.28,28.71,5.47,32.63,1.05,16.05,1.97,35.6,0.48,24.17,2.14,24.27,18.39,16.97,1.29,8.87,18.39,13.1,8.0,3.0,6.0,6.0,4.2609,5.6776,1.6125,1.05,7.0
2.49,31.97,6.99,17.34,0.89,28.02,7.9,29.82,3.14,38.49,1.13,24.31,0.83,34.25,0.71,30.27,0.93,26.23,1.65,36.01,2.28,10.93,7.9,6.99,9.0,2.0,5.0,8.0,2.6309,2.3977,2.71,2.28,6.0
5.76,24.77,0.49,21.29,8.03,34.81,7.07,18.14,0.59,30.54,13.79,19.47,8.82,10.28,0.53,26.38,12.37,29.46,0.34,18.12,6.66,43.09,13.79,12.37,8.0,3.0,4.0,4.0,5.8591,4.6352,7.645,6.66,2.0
1.75,46.01,2.0,39.7,1.46,20.38,4.37,17.5,0.15,23.9,0.18,29.83,7.89,24.35,0.31,26.9,0.33,33.41,2.29,31.23,2.68,26.27,7.89,2.0,8.0,3.0,5.0,7.0,2.1282,2.2035,2.5267,1.46,5.0
12.53,32.84,0.67,27.49,5.97,19.41,1.33,8.38,0.75,24.87,4.93,24.1,0.43,20.54,1.07,43.26,0.53,32.51,17.44,19.29,0.48,30.15,17.44,12.53,9.0,2.0,7.0,6.0,4.1936,5.496,2.79,1.07,3.0
13.71,35.47,0.8,23.49,0.67,26.52,4.92,29.34,11.19,20.25,5.23,35.21,8.18,14.04,0.8,18.78,5.06,42.77,0.72,29.5,0.76,21.29,13.71,11.19,8.0,3.0,5.0,6.0,4.7309,4.4095,6.62,5.06,3.0
4.29,28.28,0.46,21.65,8.01,10.81,12.27,23.81,4.75,24.49,0.86,26.75,3.11,33.09,6.3,36.65,0.41,28.95,0.57,17.75,0.75,31.94,12.27,3.11,10.0,1.0,5.0,8.0,3.7982,3.6725,7.155,6.3,2.0
14.48,29.67,0.38,32.08,0.95,39.44,4.52,28.91,0.78,35.2,2.99,29.23,0.4,24.51,2.75,32.68,1.3,21.59,6.46,16.26,0.33,27.17,14.48,1.3,10.0,1.0,6.0,9.0,3.2127,4.0273,3.9767,0.95,0.0
0.54,26.14,0.03,23.87,0.69,18.08,6.05,42.87,0.37,29.07,4.51,34.04,17.77,25.42,1.43,14.29,3.01,24.45,0.84,8.63,0.44,21.71,17.77,4.51,8.0,3.0,7.0,7.0,3.2436,4.9533,2.7733,0.84,0.0
0.7,23.53,5.05,30.25,10.51,34.12,0.62,27.37,0.83,30.9,13.25,23.61,7.04,40.0,0.62,35.38,5.09,26.66,2.18,35.02,7.24,18.27,13.25,10.51,9.0,2.0,4.0,5.0,4.83,4.1505,5.4867,2.18,3.0
15.43,24.44,0.66,35.48,6.79,38.25,0.29,29.42,6.33,29.94,0.7,21.47,3.62,19.67,4.49,24.65,0.58,18.63,1.3,13.52,0.72,25.27,15.43,6.33,8.0,3.0,6.0,6.0,3.7191,4.3582,2.9167,0.66,2.0
