defender1_x,defender1_y,defender2_x,defender2_y,defender3_x,defender3_y,defender4_x,defender4_y,defender5_x,defender5_y,defender6_x,defender6_y,defender7_x,defender7_y,defender8_x,defender8_y,defender9_x,defender9_y,defender10_x,defender10_y,defender11_x,defender11_y,receiver_alignment,offensive_formation,possessionTeamScoreDiff,quarter,down,yards_to_go,deepest_safety_depth,next_deepest_safety_depth,middle_field_count,outside_field_count,players_near_los,players_in_box,avg_defender_depth,std_defender_depth,avg_cb_depth,min_cb_depth,max_cb_depth,avg_defender_to_deepest_safety_depth,defender_lateral_spread,std_lb_depth,lb_lateral_spread,avg_lb_depth,min_lb_depth,max_lb_depth,std_db_depth,avg_db_depth,safety_lateral_spread,std_safety_depth,avg_safety_depth,safety_depth_diff,mof_open,man_zone,target_y
6.31,39.09,17.26,35.01,3.45,23.69,4.21,28.72,0.69,33.22,0.27,19.55,0.42,23.99,0.65,29.23,6.86,15.39,0.86,26.9,13.62,20.45,1.0,0.0,1.0,2.0,2.0,2.0,17.26,13.62,9.0,2.0,5.0,7.0,4.9636,5.4838,6.585,6.31,6.86,12.2964,23.7,1.5124,9.53,2.7833,0.69,4.21,4.6148,11.0125,14.56,1.82,15.44,3.64,1.0,1.0,3.0
1.78,33.34,0.23,42.7,4.76,24.04,0.03,18.15,0.11,21.29,0.07,26.37,0.36,11.6,0.44,23.96,13.71,25.8,0.36,29.12,7.97,18.9,0.0,0.0,-1.0,3.0,2.0,1.0,13.71,7.97,9.0,2.0,7.0,7.0,2.7109,4.2319,0.79,0.23,1.78,10.9991,31.1,2.1562,10.97,1.7167,0.03,4.76,5.2755,4.81,6.9,2.87,10.84,5.74,0.0,1.0,1.0
8.98,32.89,6.69,28.29,7.42,9.95,0.72,26.63,0.79,21.08,0.75,22.99,0.18,30.19,8.0,43.51,0.6,18.03,20.5,34.81,19.74,18.24,1.0,0.0,-1.0,4.0,2.0,3.0,20.5,19.74,8.0,3.0,5.0,5.0,6.7609,7.0946,8.1333,7.42,8.98,13.7391,33.56,0.2366,12.16,0.5725,0.18,0.79,5.8648,11.8883,16.57,6.3386,15.6433,0.76,1.0,0.0,5.0
0.81,35.53,5.35,35.96,1.55,22.21,0.15,29.0,0.64,31.03,1.02,42.18,0.58,27.41,0.47,32.93,1.54,12.77,0.35,25.03,9.29,21.04,1.0,0.0,1.0,4.0,2.0,3.0,9.29,5.35,9.0,2.0,7.0,7.0,1.9773,2.6884,1.37,1.02,1.55,7.3127,29.41,0.245,2.03,0.395,0.15,0.64,3.1758,3.75,14.92,1.97,7.32,3.94,0.0,1.0,2.0
0.51,18.39,1.92,25.53,1.21,44.63,3.3,34.48,1.06,29.49,14.56,24.29,0.65,22.89,1.33,14.51,10.84,34.17,4.24,21.57,0.68,26.72,1.0,0.0,1.0,3.0,3.0,1.0,14.56,10.84,8.0,3.0,6.0,7.0,3.6636,4.4712,1.9467,1.21,3.3,10.8964,30.12,1.16,3.96,3.08,1.92,4.24,5.4486,6.248,9.88,1.86,12.7,3.72,1.0,1.0,1.0
5.32,20.55,18.18,22.37,0.62,29.93,14.93,8.52,6.95,26.86,12.94,45.66,18.95,33.7,0.32,20.91,9.58,38.16,0.66,32.35,0.67,24.31,0.0,0.0,1.0,4.0,4.0,3.0,18.95,18.18,8.0,3.0,4.0,4.0,8.1018,6.9261,13.935,12.94,14.93,10.8482,37.14,2.8832,11.8,3.3125,0.32,6.95,3.444,14.916,15.79,4.2472,15.57,0.77,1.0,1.0,4.0
6.04,18.47,2.23,22.55,0.46,26.76,7.57,14.44,7.98,29.74,0.89,17.56,2.76,31.56,0.37,24.58,4.17,23.57,0.43,21.97,0.17,30.28,0.0,0.0,1.0,4.0,2.0,2.0,7.98,6.04,11.0,0.0,5.0,8.0,3.0064,2.8505,5.165,2.76,7.57,4.9736,17.12,1.5223,12.72,1.865,0.17,4.17,2.0527,6.0875,11.27,0.97,7.01,1.94,0.0,0.0,5.0
5.29,27.12,7.51,14.96,1.21,33.88,2.51,19.51,1.5,28.26,1.49,32.08,4.77,37.37,1.46,23.48,1.42,36.44,15.61,25.34,5.1,30.81,0.0,1.0,0.0,1.0,2.0,0.0,15.61,2.51,9.0,2.0,5.0,6.0,4.3518,4.0997,6.14,4.77,7.51,11.2582,22.41,0.095,3.69,5.195,5.1,5.29,5.1137,6.322,14.37,6.5035,6.4433,13.1,0.0,0.0,0.0
4.35,26.29,0.12,20.7,4.47,33.78,1.1,42.95,0.04,29.93,0.23,24.97,6.84,31.17,6.73,18.06,0.19,17.37,2.05,17.6,4.66,13.7,0.0,0.0,1.0,4.0,4.0,2.0,6.84,6.73,8.0,3.0,5.0,6.0,2.7982,2.56,3.41,1.1,4.66,4.0418,29.25,1.7015,8.92,2.1967,0.19,4.35,2.0831,4.76,13.11,0.055,6.785,0.11,0.0,2.0,5.0
0.69,33.3,0.54,35.5,0.39,10.35,0.78,43.93,13.38,22.33,13.63,35.1,3.23,28.59,0.68,27.15,2.6,37.21,0.2,23.19,1.36,17.97,0.0,0.0,-3.0,2.0,2.0,3.0,13.63,13.38,8.0,3.0,7.0,6.0,3.4073,4.8446,0.585,0.39,0.78,10.2227,33.58,1.515,5.4,1.715,0.2,3.23,5.8024,5.3567,19.24,5.7798,7.7425,0.25,1.0,1.0,4.0
1.12,34.63,7.74,17.72,5.02,28.51,5.15,31.71,1.13,27.35,2.36,44.91,1.26,30.63,4.66,24.94,1.19,22.44,15.41,32.03,3.33,36.51,0.0,0.0,0.0,1.0,2.0,2.0,15.41,4.66,9.0,2.0,4.0,6.0,4.3973,4.0487,4.4767,2.36,7.74,11.0127,27.19,1.8369,9.27,3.7867,1.19,5.15,4.718,6.7,7.09,5.375,10.035,10.75,0.0,1.0,2.0
0.3,35.34,0.01,24.37,0.22,32.58,5.88,36.57,13.68,23.02,5.88,15.58,3.79,31.43,1.5,18.48,0.07,27.08,0.95,28.98,6.02,20.71,1.0,0.0,1.0,3.0,3.0,2.0,13.68,5.88,9.0,2.0,6.0,6.0,3.4818,4.0095,4.4667,1.5,6.02,10.1982,20.99,1.4984,10.97,1.2625,0.01,3.79,3.9372,6.592,13.55,3.9,9.78,7.8,0.0,0.0,0.0
5.48,42.84,0.12,26.3,0.47,21.51,0.54,29.82,3.42,22.87,9.34,19.49,0.46,17.97,3.49,26.92,3.73,16.13,10.45,33.67,0.5,23.27,0.0,0.0,0.0,2.0,2.0,2.0,10.45,9.34,10.0,1.0,5.0,8.0,3.4545,3.4899,4.605,3.73,5.48,6.9955,26.71,0.035,4.05,3.455,3.42,3.49,2.7446,7.25,14.18,0.555,9.895,1.11,0.0,1.0,4.0
0.69,26.37,0.84,31.75,0.14,19.32,0.42,10.13,2.32,25.46,0.17,24.34,2.11,36.69,3.75,23.68,0.39,29.55,16.72,24.79,0.56,44.23,3.0,2.0,2.0,3.0,3.0,2.0,16.72,3.75,8.0,3.0,7.0,7.0,2.5555,4.6072,1.03,0.42,2.11,14.1645,34.1,0.848,4.09,1.1333,0.39,2.32,5.7741,4.0667,8.07,6.903,7.1033,12.97,0.0,0.0,0.0
1.4,24.23,9.63,33.03,1.22,31.73,0.92,21.95,5.59,26.25,5.5,19.76,10.36,16.27,1.49,29.74,14.57,22.56,1.97,37.37,1.46,26.7,0.0,0.0,-3.0,3.0,3.0,3.0,14.57,9.63,9.0,2.0,5.0,5.0,4.9191,4.4742,5.9433,1.97,10.36,9.6509,21.1,1.793,5.51,2.485,1.4,5.59,4.3169,8.406,10.47,2.47,12.1,4.94,0.0,0.0,0.0
0.05,23.54,0.33,35.28,0.04,10.28,0.7,30.62,3.73,21.48,2.08,17.38,0.69,25.71,0.46,28.12,13.3,27.18,0.21,37.4,2.17,38.86,3.0,2.0,0.0,1.0,3.0,1.0,13.3,0.7,9.0,2.0,7.0,8.0,2.16,3.6909,1.3267,0.04,3.73,11.14,28.58,0.847,21.48,1.5267,0.33,2.17,5.0335,3.596,3.44,6.3,7.0,12.6,0.0,0.0,0.0
3.56,22.92,0.49,25.39,3.12,30.4,7.21,13.95,0.9,20.05,3.81,27.93,0.82,23.37,0.48,28.36,4.73,17.54,0.61,16.82,5.83,36.47,0.0,1.0,-1.0,4.0,3.0,1.0,4.73,3.81,10.0,1.0,5.0,9.0,2.8691,2.2773,5.3867,3.12,7.21,2.5118,22.52,1.4223,11.54,1.55,0.48,3.56,1.4545,4.94,10.39,0.46,4.27,0.92,0.0,2.0,5.0
0.41,26.8,9.28,25.58,0.33,32.58,2.71,33.42,2.97,21.76,3.12,18.71,0.59,35.98,0.8,38.86,9.6,32.89,0.45,23.76,2.79,23.8,1.0,0.0,1.0,3.0,3.0,2.0,9.6,9.28,10.0,1.0,5.0,8.0,3.0045,3.2211,2.2967,0.8,3.12,6.5955,20.15,1.1268,12.22,1.374,0.33,2.79,3.596,5.154,7.31,0.16,9.44,0.32,0.0,0.0,0.0
1.34,32.72,13.59,35.71,4.58,23.16,3.99,17.01,2.58,39.62,1.08,25.15,0.75,29.37,0.82,9.55,15.29,19.3,0.78,34.98,4.11,30.83,1.0,0.0,-1.0,2.0,1.0,3.0,15.29,13.59,8.0,3.0,5.0,7.0,4.4464,4.9198,2.4633,0.82,3.99,10.8436,30.07,1.7188,11.82,2.6375,0.78,4.58,5.9769,7.254,16.41,0.85,14.44,1.7,1.0,1.0,3.0
7.83,14.81,4.34,19.7,0.6,31.6,4.72,26.84,0.55,34.31,0.25,28.83,7.6,36.78,4.28,31.74,1.52,37.96,14.83,23.4,0.71,24.82,2.0,3.0,3.0,3.0,1.0,3.0,14.83,4.34,10.0,1.0,4.0,8.0,4.2936,4.2553,7.715,7.6,7.83,10.5364,23.15,1.9421,9.49,2.565,0.55,4.72,4.4545,7.224,18.26,5.7266,6.8967,10.49,0.0,1.0,2.0
0.42,26.44,0.84,28.51,0.57,24.13,1.74,38.47,8.19,20.28,0.96,30.48,14.36,34.46,13.62,20.46,1.16,11.88,0.64,32.14,1.28,34.56,3.0,2.0,-1.0,3.0,3.0,3.0,14.36,13.62,10.0,1.0,7.0,7.0,3.98,5.1619,3.6967,1.16,8.19,10.38,26.59,0.2549,10.43,0.9125,0.57,1.28,5.6191,7.814,14.0,0.37,13.99,0.74,1.0,1.0,1.0
0.72,21.06,1.43,31.93,3.25,22.74,12.67,22.08,3.0,36.85,5.79,41.87,1.04,28.77,0.87,25.93,0.9,23.44,0.77,18.04,1.88,8.97,1.0,0.0,-1.0,1.0,3.0,1.0,12.67,5.79,8.0,3.0,6.0,7.0,2.9382,3.4111,2.1033,1.43,3.0,9.7318,32.9,1.1109,10.73,1.6867,0.77,3.25,4.1454,4.954,19.79,3.44,9.23,6.88,0.0,0.0,0.0
4.38,26.93,11.11,33.59,3.92,20.75,10.9,17.5,8.15,8.53,0.23,29.23,0.88,16.96,0.76,24.84,7.33,39.15,0.67,21.55,1.19,34.77,0.0,0.0,-1.0,2.0,1.0,3.0,11.11,10.9,8.0,3.0,5.0,6.0,4.5018,4.0146,7.74,7.33,8.15,6.6082,30.62,1.761,12.27,2.016,0.23,4.38,3.5939,7.736,17.27,4.6276,7.7333,0.21,1.0,1.0,4.0
0.65,19.43,13.72,25.31,0.59,24.23,5.99,30.12,1.16,44.13,0.18,28.83,0.73,37.32,5.1,16.42,3.92,26.13,1.57,14.22,3.16,32.9,1.0,0.0,1.0,4.0,3.0,3.0,13.72,5.99,9.0,2.0,5.0,6.0,3.3427,3.7865,1.655,0.73,3.16,10.3773,29.91,0.0,0.0,3.92,3.92,3.92,4.1976,4.49,13.7,3.8708,8.27,7.73,0.0,0.0,0.0
1.19,26.5,0.7,22.62,2.5,32.9,9.09,17.2,3.58,43.79,4.46,26.15,4.93,21.82,0.76,17.82,0.44,30.24,3.35,13.26,14.05,32.66,0.0,0.0,-1.0,4.0,1.0,3.0,14.05,9.09,9.0,2.0,4.0,7.0,4.0955,3.9622,3.1433,2.5,3.58,9.9545,30.53,2.0573,12.42,2.6475,0.44,4.93,4.4308,6.514,15.46,2.48,11.57,4.96,0.0,1.0,1.0
0.31,28.43,0.97,30.99,0.99,26.56,0.38,17.61,1.58,15.2,0.58,23.91,15.01,21.14,8.72,34.71,0.28,19.14,1.36,21.32,7.04,38.87,1.0,0.0,-2.0,2.0,3.0,2.0,15.01,8.72,9.0,2.0,7.0,8.0,3.3836,4.5913,3.1967,0.97,7.04,11.6264,23.67,0.4481,7.42,0.8767,0.28,1.36,5.2472,5.6167,17.1,5.9922,8.0367,6.29,0.0,1.0,4.0
7.76,35.63,5.89,14.73,5.5,43.43,0.03,29.74,3.83,21.79,14.87,20.31,0.5,22.73,0.66,18.69,0.03,26.67,4.35,25.18,8.23,8.31,0.0,0.0,0.0,1.0,3.0,1.0,14.87,7.76,8.0,3.0,4.0,6.0,4.6955,4.3251,6.54,5.5,8.23,10.1745,35.12,1.8946,11.05,2.2175,0.03,4.35,3.3763,8.45,15.32,3.555,11.315,7.11,0.0,1.0,2.0
16.23,30.87,0.83,22.68,1.04,18.2,7.21,42.76,1.22,8.46,3.4,34.84,4.36,24.13,0.28,28.99,0.81,26.19,4.54,29.66,9.84,17.97,1.0,0.0,3.0,3.0,1.0,3.0,16.23,9.84,8.0,3.0,5.0,6.0,4.5236,4.6933,4.215,1.22,7.21,11.7064,34.3,1.6092,11.46,3.3133,1.04,4.54,5.2534,7.58,16.87,5.2378,9.8233,6.39,0.0,1.0,2.0
3.35,28.02,2.05,33.91,0.14,21.48,0.04,24.74,6.59,9.6,3.52,16.12,12.31,16.1,10.39,35.1,7.37,43.2,0.53,17.96,0.21,27.41,3.0,2.0,-1.0,2.0,2.0,2.0,12.31,10.39,8.0,3.0,4.0,7.0,4.2273,4.1432,6.98,6.59,7.37,8.0827,33.6,1.2011,17.79,2.3625,0.53,3.52,2.3046,9.165,19.0,0.96,11.35,1.92,1.0,1.0,4.0
15.19,24.64,22.67,15.89,1.15,29.89,0.7,23.35,19.34,39.88,14.47,14.89,0.93,36.47,14.17,31.72,18.6,27.59,13.98,19.61,15.38,45.84,1.0,0.0,1.0,2.0,2.0,1.0,22.67,19.34,7.0,4.0,3.0,3.0,12.4164,7.4691,14.61,13.98,15.38,10.2536,30.95,0.51,7.08,14.68,14.17,15.19,3.0913,17.4067,23.99,1.7702,20.2033,3.33,1.0,2.0,5.0
1.12,25.88,3.0,20.25,0.79,17.79,1.16,32.66,1.06,22.73,1.78,43.85,1.72,37.55,5.75,20.74,1.39,8.5,2.4,24.7,1.23,29.37,1.0,0.0,1.0,4.0,4.0,1.0,5.75,1.39,8.0,3.0,6.0,7.0,1.9455,1.3521,1.5533,1.16,1.78,3.8045,35.35,0.885,11.58,1.855,0.79,3.0,1.7099,2.36,12.24,2.18,3.57,4.36,0.0,0.0,5.0
5.83,18.64,0.25,31.74,0.42,35.74,0.31,29.09,3.36,36.94,4.06,28.76,4.43,32.3,0.45,23.07,15.87,28.47,0.51,25.57,3.79,23.76,2.0,3.0,2.0,4.0,2.0,2.0,15.87,3.79,10.0,1.0,5.0,9.0,3.5709,4.3499,4.595,3.36,5.83,12.2991,18.3,1.7953,9.23,2.98,0.45,4.43,5.0848,7.2125,4.71,6.04,9.83,12.08,0.0,1.0,2.0
0.94,30.59,12.48,21.06,4.82,28.42,4.15,25.88,0.69,27.66,7.22,16.79,0.67,35.28,2.94,40.62,4.94,35.23,15.26,34.63,0.86,25.13,0.0,1.0,1.0,1.0,1.0,3.0,15.26,12.48,9.0,2.0,4.0,7.0,4.9973,4.6914,5.0333,2.94,7.22,10.2627,23.83,1.8191,9.4,3.2133,0.67,4.82,4.6204,8.568,13.57,1.39,13.87,2.78,1.0,1.0,1.0
13.21,20.21,3.57,36.23,0.17,24.24,1.98,21.41,1.6,27.44,0.32,17.78,3.46,29.83,0.7,44.7,0.31,31.81,11.31,29.72,8.63,14.05,1.0,0.0,-1.0,4.0,3.0,3.0,13.21,11.31,8.0,3.0,4.0,6.0,4.1145,4.4984,4.09,0.7,8.63,9.0955,30.65,0.7147,10.4,1.2967,0.31,1.98,4.5383,6.8133,9.51,0.95,12.26,1.9,1.0,0.0,0.0
0.35,26.63,0.22,24.37,0.2,38.55,0.37,19.9,12.43,35.4,0.87,29.6,0.8,32.33,11.23,23.22,0.08,35.69,6.88,19.82,5.43,37.01,0.0,0.0,0.0,2.0,3.0,1.0,12.43,11.23,11.0,0.0,7.0,7.0,3.5327,4.4915,0.285,0.2,0.37,8.8973,18.73,0.395,6.09,0.475,0.08,0.87,4.7449,6.09,17.19,2.9145,8.9925,1.2,1.0,0.0,0.0
1.18,27.27,1.13,19.55,5.58,24.09,1.34,14.47,3.49,32.83,8.17,18.79,1.59,16.45,1.24,25.02,1.2,31.02,8.05,29.62,1.23,21.96,0.0,1.0,1.0,4.0,2.0,2.0,8.17,8.05,11.0,0.0,6.0,8.0,3.1091,2.6971,2.415,1.34,3.49,5.0609,18.36,1.9792,14.57,2.79,1.2,5.58,2.9475,5.2625,10.83,0.06,8.11,0.12,0.0,2.0,5.0
0.59,28.61,0.96,23.93,0.74,21.7,7.7,37.27,6.33,13.09,7.34,31.11,0.91,16.39,0.52,25.93,0.63,18.55,13.47,19.58,0.99,31.18,0.0,0.0,1.0,3.0,2.0,3.0,13.47,7.34,9.0,2.0,7.0,7.0,3.6527,4.1801,5.0067,0.99,7.7,9.8173,24.18,0.1452,7.54,0.8333,0.63,0.96,3.9723,7.166,11.53,3.065,10.405,6.13,0.0,1.0,2.0
0.4,32.9,3.54,35.95,0.5,20.46,0.39,24.94,0.65,28.44,9.31,39.59,12.36,19.23,12.96,33.79,4.56,23.31,4.98,27.65,8.06,12.41,0.0,0.0,-2.0,3.0,3.0,3.0,12.96,12.36,9.0,2.0,4.0,7.0,5.2464,4.5598,6.97,3.54,9.31,7.7136,27.18,0.21,4.34,4.77,4.56,4.98,3.39,9.246,14.56,0.3,12.66,0.6,1.0,1.0,3.0
6.48,22.62,6.67,11.16,1.77,42.04,0.18,30.85,0.35,35.49,3.56,28.59,8.55,33.4,0.58,26.06,2.97,32.7,1.26,22.26,0.34,28.1,2.0,0.0,0.0,1.0,1.0,3.0,8.55,6.48,9.0,2.0,5.0,7.0,2.9736,2.8466,3.2333,1.26,6.67,5.5764,30.88,0.295,4.11,3.265,2.97,3.56,2.8979,4.946,10.78,1.035,7.515,2.07,0.0,1.0,2.0
0.63,35.92,0.9,29.18,0.54,32.12,0.96,25.22,5.17,28.51,0.85,18.05,12.64,26.17,1.04,38.51,1.75,22.56,4.81,33.62,1.13,9.85,0.0,0.0,1.0,3.0,2.0,1.0,12.64,1.75,9.0,2.0,7.0,7.0,2.7655,3.4912,1.0067,0.85,1.13,9.8745,28.66,2.0606,7.41,3.5367,0.63,5.17,4.5889,3.482,3.61,5.445,7.195,10.89,0.0,0.0,0.0
4.21,31.82,2.72,17.32,6.96,35.44,1.58,22.7,0.58,24.97,0.56,28.44,5.7,40.12,0.54,32.05,4.13,27.91,0.67,35.63,16.2,29.31,2.0,0.0,0.0,1.0,2.0,1.0,16.2,6.96,9.0,2.0,4.0,7.0,3.9864,4.4173,4.21,2.72,5.7,12.2136,22.8,0.04,3.91,4.17,4.13,4.21,5.1643,6.632,12.74,6.0375,8.2467,9.24,0.0,1.0,3.0
1.43,19.27,1.02,42.34,4.5,30.73,1.15,23.29,1.01,26.79,1.15,32.23,1.23,10.1,1.59,29.63,3.88,24.01,1.07,35.37,15.34,26.02,1.0,0.0,-2.0,1.0,2.0,1.0,15.34,3.88,8.0,3.0,7.0,7.0,3.0336,4.06,1.2267,1.02,1.43,12.3064,32.24,1.5984,12.08,2.24,1.07,4.5,5.4788,4.58,2.01,5.73,9.61,11.46,0.0,0.0,0.0
0.94,35.1,0.86,31.01,7.92,15.49,5.36,30.27,0.82,27.62,9.94,39.26,0.84,9.85,0.27,23.46,1.04,18.48,5.04,26.9,2.66,42.89,1.0,0.0,-3.0,3.0,3.0,1.0,9.94,7.92,7.0,4.0,6.0,4.0,3.2445,3.178,1.5133,0.84,2.66,6.6955,33.04,0.16,3.37,5.2,5.04,5.36,3.7427,4.48,23.77,1.01,8.93,2.02,0.0,2.0,5.0
5.15,30.12,3.78,25.59,7.16,13.48,0.59,26.3,0.55,18.14,12.59,19.25,0.7,30.08,3.98,21.57,0.91,34.27,4.63,19.47,0.71,21.56,0.0,1.0,0.0,1.0,1.0,3.0,12.59,5.15,9.0,2.0,5.0,7.0,3.7045,3.5596,4.2333,0.91,7.16,8.8855,20.79,0.1,4.02,3.88,3.78,3.98,3.8273,6.088,10.87,3.72,8.87,7.44,0.0,0.0,0.0
0.41,27.28,3.94,32.59,0.56,23.98,5.28,42.24,7.63,10.49,0.24,30.29,4.99,16.14,4.74,38.68,3.35,26.62,0.02,36.13,15.02,25.78,3.0,2.0,0.0,1.0,2.0,2.0,15.02,4.99,8.0,3.0,4.0,7.0,4.1982,4.1831,6.455,5.28,7.63,10.8218,31.75,1.7257,9.51,2.4367,0.02,3.94,3.8835,7.532,22.54,4.7882,8.25,10.03,0.0,1.0,2.0
3.06,35.53,0.64,37.76,5.13,38.06,5.25,17.93,4.01,29.03,0.73,32.48,12.46,28.41,8.57,12.41,0.48,23.56,0.65,26.9,0.69,29.6,0.0,0.0,-2.0,4.0,2.0,1.0,12.46,5.25,9.0,2.0,5.0,7.0,3.7882,3.7202,6.85,5.13,8.57,8.6718,25.65,1.526,14.2,2.0475,0.48,4.01,2.997,7.8525,10.48,3.605,8.855,7.21,0.0,0.0,0.0
1.04,32.15,0.49,24.67,2.92,32.52,15.27,27.06,1.5,10.5,3.73,34.93,1.26,26.26,5.46,24.15,0.82,21.96,8.08,27.25,1.06,43.77,1.0,0.0,1.0,3.0,1.0,3.0,15.27,8.08,9.0,2.0,6.0,6.0,3.7845,4.2652,2.0967,1.06,3.73,11.4855,33.27,2.21,8.0,3.25,1.04,5.46,4.9595,5.4267,5.46,5.0645,8.7567,7.19,0.0,0.0,5.0
0.03,21.91,0.53,31.89,5.02,27.36,4.05,10.95,1.09,33.34,14.66,18.05,4.36,22.0,0.52,29.25,4.96,44.03,12.29,35.45,0.29,25.95,0.0,0.0,1.0,2.0,2.0,1.0,14.66,12.29,9.0,2.0,5.0,6.0,4.3455,4.7221,4.505,4.05,4.96,10.3145,33.08,1.7183,11.34,3.49,1.09,5.02,4.5739,8.99,17.4,1.185,13.475,2.37,1.0,1.0,1.0
3.7,20.23,0.58,28.79,8.97,19.53,0.79,24.67,0.56,42.89,11.33,29.37,3.28,23.26,6.02,11.97,1.58,33.46,1.19,18.61,0.62,20.89,0.0,0.0,1.0,2.0,2.0,3.0,8.97,1.58,9.0,2.0,5.0,7.0,3.5109,3.5611,5.97,0.56,11.33,5.8882,30.92,1.3286,10.18,2.1875,0.58,3.7,4.1445,5.692,13.93,3.695,5.275,7.39,0.0,1.0,3.0
1.09,15.07,6.24,27.88,3.74,32.25,0.87,34.11,1.14,29.63,17.26,25.92,0.9,23.95,1.15,18.88,1.72,26.31,0.7,21.01,2.08,17.98,1.0,0.0,1.0,1.0,3.0,2.0,17.26,6.24,10.0,1.0,6.0,8.0,3.3536,4.6736,1.9,0.87,3.74,13.9064,19.04,0.0,0.0,1.72,1.72,1.72,5.6867,5.2133,9.9,6.4047,8.5267,11.02,0.0,0.0,0.0
0.24,19.4,0.46,29.07,10.78,20.3,4.62,25.57,1.02,16.11,0.5,26.74,11.32,30.44,4.0,30.24,0.73,22.92,4.13,22.04,8.65,34.98,2.0,4.0,2.0,4.0,2.0,3.0,11.32,10.78,10.0,1.0,5.0,8.0,4.2227,4.0398,4.835,1.02,8.65,7.0973,18.87,1.6573,8.2,3.3025,0.46,4.62,4.1195,7.9425,10.14,0.27,11.05,0.54,1.0,1.0,3.0
0.98,30.01,13.48,23.26,0.57,32.17,9.09,35.69,5.04,18.19,0.52,24.47,0.55,28.22,4.57,30.58,0.56,36.05,4.07,24.46,4.65,40.56,0.0,1.0,1.0,2.0,1.0,3.0,13.48,9.09,9.0,2.0,5.0,7.0,4.0073,3.9811,4.5867,4.07,5.04,9.4727,22.37,1.8998,11.58,1.8833,0.52,4.57,3.5764,7.266,12.43,2.195,11.285,4.39,0.0,1.0,2.0
0.71,26.76,0.44,30.55,9.43,18.88,5.0,24.09,8.58,36.26,0.55,21.05,11.11,30.07,5.35,20.47,0.85,24.66,0.77,18.77,7.74,11.4,0.0,1.0,1.0,3.0,1.0,3.0,11.11,9.43,9.0,2.0,5.0,6.0,4.5936,3.9278,8.16,7.74,8.58,6.5164,24.86,2.2913,11.78,2.89,0.44,5.35,1.2466,9.215,11.19,0.84,10.27,1.68,0.0,1.0,2.0
0.05,35.07,0.1,32.33,13.84,35.11,12.6,22.14,2.75,12.42,4.6,31.45,2.78,20.92,0.52,28.79,4.7,26.8,0.39,24.48,0.76,42.51,1.0,0.0,1.0,2.0,2.0,3.0,13.84,12.6,9.0,2.0,5.0,7.0,3.9173,4.6813,2.0967,0.76,2.78,9.9227,30.09,2.1688,8.27,3.1167,0.05,4.7,5.5122,6.546,12.97,0.62,13.22,1.24,1.0,1.0,3.0
3.58,27.02,0.28,18.02,0.63,28.56,8.26,18.1,1.05,45.26,3.35,21.76,2.25,32.58,0.81,23.73,14.03,26.72,10.76,35.98,3.4,13.5,1.0,0.0,1.0,2.0,3.0,3.0,14.03,10.76,8.0,3.0,4.0,6.0,4.4,4.3774,2.225,1.05,3.4,9.63,31.76,0.5804,10.82,3.06,2.25,3.58,4.7383,7.5,17.88,2.3626,11.0167,3.27,1.0,1.0,1.0
4.01,28.63,0.35,34.03,13.38,19.68,3.79,8.76,0.26,31.78,0.36,27.78,2.44,21.31,12.64,37.9,0.68,25.07,2.67,34.97,1.36,39.56,0.0,1.0,-2.0,4.0,1.0,3.0,13.38,12.64,9.0,2.0,5.0,8.0,3.8127,4.5231,2.53,1.36,3.79,9.5673,30.8,0.67,6.34,3.34,2.67,4.01,5.1968,6.722,18.22,0.37,13.01,0.74,1.0,1.0,1.0
4.19,25.72,0.17,28.56,1.52,15.91,2.86,27.1,1.78,18.75,0.21,21.91,2.66,24.14,0.8,33.99,3.39,21.56,0.06,24.69,0.45,18.42,2.0,3.0,1.0,4.0,3.0,1.0,4.19,1.78,11.0,0.0,5.0,11.0,1.6445,1.3801,1.16,0.8,1.52,2.5455,18.08,0.308,5.54,2.97,2.66,3.39,1.2742,2.0725,6.97,1.205,2.985,2.41,0.0,2.0,5.0
1.15,26.03,1.21,20.99,4.22,23.19,1.59,29.24,7.12,42.19,2.03,31.52,0.97,23.16,6.77,35.99,12.82,25.79,4.01,20.15,1.79,16.62,1.0,0.0,1.0,2.0,2.0,3.0,12.82,6.77,9.0,2.0,3.0,8.0,3.9709,3.5019,4.575,2.03,7.12,8.8491,25.57,1.0994,6.57,3.34,1.79,4.22,3.8244,7.185,10.2,3.025,9.795,6.05,0.0,0.0,0.0
0.14,23.96,0.37,32.63,0.21,27.6,6.68,13.67,3.38,16.65,13.46,29.71,10.27,19.12,0.83,35.52,5.12,12.48,0.51,21.91,4.51,21.89,4.0,2.0,2.0,2.0,3.0,2.0,13.46,10.27,9.0,2.0,5.0,7.0,4.1345,4.2891,3.63,0.83,6.68,9.3255,23.04,2.2069,20.15,2.0,0.37,5.12,4.253,6.5217,10.59,3.7037,9.4133,3.19,1.0,1.0,4.0
0.74,31.55,7.4,11.12,0.22,18.34,4.25,28.96,13.39,31.2,4.56,37.07,0.56,34.88,0.67,29.1,0.47,24.99,13.55,21.92,4.03,33.39,0.0,0.0,-3.0,3.0,1.0,3.0,13.55,13.39,9.0,2.0,5.0,7.0,4.5309,4.7531,5.98,4.56,7.4,9.0191,25.95,1.69,5.92,2.9467,0.56,4.25,5.1463,7.824,12.86,6.2465,9.0533,0.16,1.0,1.0,4.0
